web_name,id,element_type,form,points_per_game,predicted_points_27,predicted_points_mean,predicted_points_27_raw,predicted_points_mean_raw
Toney,80,4,6.3,5.9,18.71,12.99,18.71,12.99
Mitoma,124,3,5.7,4.7,17.84,10.26,17.84,10.26
Pinnock,92,2,3.7,3.4,14.69,9.14,14.69,9.14
Raya,81,1,3.7,4.5,14.97,9.13,14.97,9.13
Martinelli,19,3,6.5,5.5,5.26,5.79,5.26,5.79
Saka,13,3,6.3,5.7,4.54,5.34,4.54,5.34
Ward,254,1,4.5,3.6,2.28,4.67,2.28,4.67
Castagne,258,2,2.5,3.3,3.34,4.49,3.34,4.49
Maddison,261,3,3.5,5.5,3.61,4.25,3.61,4.25
Haaland,318,4,4.7,7.9,5.82,4.13,5.82,4.13
Kane,427,4,4.6,6.3,3.97,4.0,3.97,4.0
Rashford,335,3,8.2,6.1,4.35,3.99,4.35,3.99
Zinchenko,313,2,4.8,4.2,3.61,3.68,3.61,3.68
Schär,366,2,1.0,4.6,4.49,3.55,5.98,4.73
Trippier,357,2,1.3,6.1,4.85,3.21,4.85,3.21
